,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
63,Doxia :: iText Module,org.apache.maven.doxia.module.itext,SinkActionContext,2,30,1,1,1,8,1,4,0,4
64,Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faqs,183,39,30,2,37,13,23,7,8,6
65,Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Part,182,34,34,2,32,12,22,8,5,7
66,Doxia :: FML Module,org.apache.maven.doxia.module.fml.model,Faq,172,24,34,0,28,10,20,7,3,7
67,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlContentParser,50,109,3,23,5,29,3,14,0,4
68,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlSiteModule,6,0,0,0,2,0,1,0,1,0
69,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup,0,29,0,0,0,7,0,1,0,1
70,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
71,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
72,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
73,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
74,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
75,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
76,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
77,Doxia :: FML Module,org.apache.maven.doxia.module.fml,FmlParser,445,961,50,86,61,232,44,40,1,15
78,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,VerbatimBlock,0,16,0,0,0,7,0,2,0,2
79,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlockParser,5,103,1,13,1,26,1,11,0,5
80,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ParagraphBlock,0,29,0,4,0,12,0,6,0,4
81,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlock,0,6,0,0,0,3,0,2,0,2
82,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlock,0,42,1,3,0,15,1,4,0,3
83,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinethroughBlock,0,24,0,0,0,5,0,2,0,2
84,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AbstractFatherBlock,5,33,1,3,1,11,1,4,0,3
85,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,MonospaceBlock,0,10,0,0,0,6,0,3,0,3
86,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,FigureBlockParser,13,103,2,14,1,19,2,10,0,4
87,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlockParser,0,120,4,24,0,24,4,15,0,5
88,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlock,0,102,2,18,0,36,2,10,0,2
89,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SectionBlockParser,0,78,0,10,0,18,0,8,0,3
90,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,TextBlock,0,11,0,0,0,5,0,2,0,2
91,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SupBlock,0,24,0,0,0,5,0,2,0,2
92,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,HorizontalRuleBlockParser,0,11,0,0,0,3,0,3,0,3
93,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ItalicBlock,0,10,0,0,0,6,0,3,0,3
94,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,DefinitionListBlock,0,49,1,3,0,16,1,3,0,2
95,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinkBlock,5,24,2,2,1,9,2,2,0,2
96,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,UnderlineBlock,0,24,0,0,0,5,0,2,0,2
97,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,LinebreakBlock,0,6,0,0,0,3,0,2,0,2
98,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,VerbatimBlockParser,0,50,1,9,0,11,1,8,0,4
99,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,AnchorBlock,5,15,1,1,1,7,1,2,0,2
100,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,ChildBlocksBuilder,45,767,12,100,6,157,11,56,0,6
101,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,SubBlock,0,24,0,0,0,5,0,2,0,2
102,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser,BoldBlock,0,10,0,0,0,6,0,3,0,3
103,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,BulletedListBlock,0,10,0,0,0,6,0,3,0,3
104,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,NumberedListBlock,0,11,0,0,0,6,0,3,0,3
105,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListItemBlock,3,25,0,2,1,11,1,5,1,4
106,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListBlock,0,4,0,0,0,2,0,1,0,1
107,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,ListBlockParser,0,193,1,43,0,37,1,28,0,7
108,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,TreeListBuilder,23,158,5,15,3,33,4,11,0,5
109,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.list,TreeComponent,61,62,5,3,12,20,5,9,2,8
110,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableBlockParser,13,305,6,26,2,50,6,15,0,5
111,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableRowBlock,0,10,0,0,0,6,0,3,0,3
112,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableBlock,0,42,0,2,0,13,0,5,0,4
113,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableCellBlock,0,10,0,0,0,6,0,3,0,3
114,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence.parser.table,TableCellHeaderBlock,0,10,0,0,0,6,0,3,0,3
115,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceSiteModule,6,0,0,0,2,0,1,0,1,0
116,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceSink,99,597,9,35,56,231,36,115,28,101
117,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceParser,11,186,0,10,2,37,0,9,0,4
118,Doxia :: Confluence Module,org.apache.maven.doxia.module.confluence,ConfluenceSinkFactory,8,0,0,0,2,0,2,0,2,0
119,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Paragraph,0,24,0,0,0,7,0,2,0,2
120,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.HorizontalRule,0,15,0,0,0,5,0,2,0,2
121,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser,365,1895,130,257,93,463,121,126,2,28
122,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParseException,24,0,0,0,8,0,4,0,4,0
123,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.DefinitionListItem,0,50,1,1,0,13,1,2,0,2
124,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.ListItem,0,15,0,0,0,5,0,2,0,2
125,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section2,0,20,0,0,0,7,0,3,0,3
126,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptParser.Section3,0,20,0,0,0,7,0,3,0,3
127,Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptMarkup,0,178,0,0,0,32,0,1,0,1
