Complexity metrics,Sun, 24 Mar 2019 23:16:23 EDT
Method,ev(G),v(G)
"org.apache.deltaspike.core.api.exception.control.event.ExceptionStackEvent.isRoot()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionStackEvent.setCauseElements(Collection<Throwable>)",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionStackEvent.skipCause()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.ExceptionToCatchEvent(Throwable)",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.ExceptionToCatchEvent(Throwable,Annotation...)",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.getException()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.getQualifiers()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.isHandled()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.isOptional()",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.setHandled(boolean)",1,1
"org.apache.deltaspike.core.api.exception.control.event.ExceptionToCatchEvent.setOptional(boolean)",1,1
"org.apache.deltaspike.core.api.interpreter.BasePropertyExpressionInterpreter.evaluate(String)",8,13
"org.apache.deltaspike.core.api.interpreter.SimpleOperationEnum.SimpleOperationEnum(String)",1,1
"org.apache.deltaspike.core.api.interpreter.SimpleOperationEnum.getOperations()",1,2
"org.apache.deltaspike.core.api.interpreter.SimpleOperationEnum.getValue()",1,1
"org.apache.deltaspike.core.api.jmx.Table.getColumnNames()",1,1
"org.apache.deltaspike.core.api.jmx.Table.getLines()",1,1
"org.apache.deltaspike.core.api.jmx.Table.withColumns(Collection<String>)",1,1
"org.apache.deltaspike.core.api.jmx.Table.withColumns(String...)",1,1
"org.apache.deltaspike.core.api.jmx.Table.withLine(Collection<String>)",2,2
"org.apache.deltaspike.core.api.jmx.Table.withLine(String...)",2,2
"org.apache.deltaspike.core.api.jmx.Table.withLines(Collection<Collection<String>>)",1,2
"org.apache.deltaspike.core.api.literal.InjectableResourceLiteral.InjectableResourceLiteral(Class<? extends InjectableResourceProvider>,String)",1,1
"org.apache.deltaspike.core.api.literal.InjectableResourceLiteral.location()",1,1
"org.apache.deltaspike.core.api.literal.InjectableResourceLiteral.resourceProvider()",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.MessageContextConfigLiteral()",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.MessageContextConfigLiteral(Class<? extends MessageResolver>,Class<? extends MessageInterpolator>,Class<? extends LocaleResolver>,String[])",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.localeResolver()",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.messageInterpolator()",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.messageResolver()",1,1
"org.apache.deltaspike.core.api.literal.MessageContextConfigLiteral.messageSource()",1,1
"org.apache.deltaspike.core.api.literal.NamedLiteral.NamedLiteral()",1,1
"org.apache.deltaspike.core.api.literal.NamedLiteral.NamedLiteral(String)",1,1
"org.apache.deltaspike.core.api.literal.NamedLiteral.value()",1,1
"org.apache.deltaspike.core.api.literal.NewLiteral.NewLiteral()",1,1
"org.apache.deltaspike.core.api.literal.NewLiteral.NewLiteral(Class<?>)",1,1
"org.apache.deltaspike.core.api.literal.NewLiteral.value()",1,1
"org.apache.deltaspike.core.api.literal.TypedLiteral.TypedLiteral()",1,1
"org.apache.deltaspike.core.api.literal.TypedLiteral.TypedLiteral(Class<?>[])",1,1
"org.apache.deltaspike.core.api.literal.TypedLiteral.value()",1,1
"org.apache.deltaspike.core.api.literal.ViewControllerRefLiteral.ViewControllerRefLiteral(Class,String)",1,1
"org.apache.deltaspike.core.api.literal.ViewControllerRefLiteral.name()",1,1
"org.apache.deltaspike.core.api.literal.ViewControllerRefLiteral.value()",1,1
"org.apache.deltaspike.core.api.monitoring.MonitorResultEvent.MonitorResultEvent(Map<String, AtomicInteger>,Map<String, AtomicInteger>,Map<String, AtomicLong>)",1,1
"org.apache.deltaspike.core.api.monitoring.MonitorResultEvent.getClassInvocations()",1,1
"org.apache.deltaspike.core.api.monitoring.MonitorResultEvent.getMethodDurations()",1,1
"org.apache.deltaspike.core.api.monitoring.MonitorResultEvent.getMethodInvocations()",1,1
"org.apache.deltaspike.core.api.projectstage.ProjectStage.ProjectStage()",1,1
"org.apache.deltaspike.core.api.projectstage.ProjectStage.init(String,ProjectStage)",2,2
"org.apache.deltaspike.core.api.projectstage.ProjectStage.toString()",1,1
"org.apache.deltaspike.core.api.projectstage.ProjectStage.valueOf(String)",1,1
"org.apache.deltaspike.core.api.projectstage.ProjectStage.values()",1,1
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.cleanupFinalBeanManagers(AfterDeploymentValidation)",1,2
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.cleanupStoredBeanManagerOnShutdown(BeforeShutdown)",2,2
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.getBeanManager()",4,9
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.getBeanManagerInfo(ClassLoader)",1,5
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.getInstance()",2,2
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.getParentBeanManagerInfo(ClassLoader)",2,3
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.isActive()",1,2
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.resolveBeanManagerViaJndi()",1,2
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.resolveBeanManagerViaStaticHelper()",2,4
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.setBeanManager(AfterBeanDiscovery,BeanManager)",1,1
"org.apache.deltaspike.core.api.provider.BeanManagerProvider.setBeanManagerProvider(BeanManagerProvider)",1,2
"org.apache.deltaspike.core.api.provider.BeanProvider.BeanProvider()",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.createDependentProvider(BeanManager,Class<T>,Bean<T>)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.filterDefaultScopedBeans(Set<Bean<?>>)",1,3
"org.apache.deltaspike.core.api.provider.BeanProvider.getBeanDefinitions(Class<T>,boolean,boolean)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getBeanDefinitions(Class<T>,boolean,boolean,BeanManager)",3,6
"org.apache.deltaspike.core.api.provider.BeanProvider.getBeanManager()",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(BeanManager,Class<T>,boolean,Annotation...)",3,4
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(BeanManager,String,boolean,Class<T>)",3,4
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(Class<T>,Annotation...)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(Class<T>,Bean<T>)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(Class<T>,BeanManager,Bean<?>)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(Class<T>,BeanManager,Set<Bean<?>>)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(Class<T>,boolean,Annotation...)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(String)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(String,boolean)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReference(String,boolean,Class<T>)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReferences(Class<T>,boolean)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getContextualReferences(Class<T>,boolean,boolean)",1,2
"org.apache.deltaspike.core.api.provider.BeanProvider.getDependent(BeanManager,Class<T>,Annotation...)",1,1
