Complexity metrics,Sun, 31 Mar 2019 21:38:24 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadedSourcesArtifactFile()",1,2,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadedTestArtifactFile()",1,2,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadedTestArtifactFileWithClassifier()",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.updateExcludesInDeps(MavenProject,List<Dependency>,List<Dependency>)",8,13,14
"org.apache.maven.plugins.shade.mojo.ShadeMojoTest.shaderWithPattern(String,File)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojoTest.testShadeWithFilter()",1,3,3
"org.apache.maven.plugins.shade.mojo.ShadeMojoTest.testShaderWithCustomShadedPattern()",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojoTest.testShaderWithDefaultShadedPattern()",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojoTest.testShaderWithExclusions()",1,1,1
"org.apache.maven.plugins.shade.pom.Counter.Counter(int)",1,1,1
"org.apache.maven.plugins.shade.pom.Counter.getCurrentIndex()",1,1,1
"org.apache.maven.plugins.shade.pom.Counter.getDepth()",1,1,1
"org.apache.maven.plugins.shade.pom.Counter.increaseCount()",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.MavenJDOMWriter()",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.findAndReplaceProperties(Counter,Element,String,Map)",1,6,6
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.findAndReplaceSimpleElement(Counter,Element,String,String,String)",3,8,9
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.findAndReplaceSimpleLists(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.findAndReplaceXpp3DOM(Counter,Element,String,Xpp3Dom)",1,4,4
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.insertAtPreferredLocation(Element,Element,Counter)",1,7,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateContributor(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateDependency(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateDeveloper(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateExclusion(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateExtension(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateLicense(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateMailingList(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateNotifier(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iteratePlugin(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iteratePluginExecution(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateProfile(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateReportPlugin(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateReportSet(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateRepository(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.iterateResource(Counter,Element,Collection,String,String)",1,8,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.replaceXpp3DOM(Element,Xpp3Dom,Counter)",5,7,8
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateActivationFile(ActivationFile,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateActivationOS(ActivationOS,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateActivationProperty(ActivationProperty,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateBuild(Build,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateBuildBase(BuildBase,String,Counter,Element)",1,2,2
