Complexity metrics,Sun, 31 Mar 2019 21:55:22 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.doxia.macro.toc.TocMacro.execute(Sink,MacroRequest)",2,5,7
"org.apache.maven.doxia.macro.toc.TocMacro.getInt(MacroRequest,String,int)",3,1,4
"org.apache.maven.doxia.macro.toc.TocMacro.writeSubSectionN(Sink,IndexEntry,int)",1,9,9
"org.apache.maven.doxia.macro.toc.TocMacroTest.testExecute()",1,1,1
"org.apache.maven.doxia.macro.toc.TocMacroTest.testTocStyle()",1,1,1
"org.apache.maven.doxia.module.AbstractIdentityTest.assertIdentity(boolean)",1,1,1
"org.apache.maven.doxia.module.AbstractIdentityTest.getExpected()",1,1,1
"org.apache.maven.doxia.module.AbstractIdentityTest.getOutputDir()",1,1,1
"org.apache.maven.doxia.module.AbstractIdentityTest.outputExtension()",1,1,1
"org.apache.maven.doxia.module.AbstractIdentityTest.testIdentity()",1,2,2
"org.apache.maven.doxia.module.apt.AptIdentityTest.createParser()",1,1,1
"org.apache.maven.doxia.module.apt.AptIdentityTest.createSink(Writer)",1,1,1
"org.apache.maven.doxia.module.apt.AptParseException.AptParseException(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParseException.AptParseException(String,Exception)",1,1,1
"org.apache.maven.doxia.module.apt.AptParseException.AptParseException(String,Exception,String,int,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParseException.AptParseException(String,Exception,int,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.Block(int,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.Block(int,int,String)",5,6,7
"org.apache.maven.doxia.module.apt.AptParser.Block.getIndent()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.getType()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.skipFromLeftToRightBracket(int)",4,2,5
"org.apache.maven.doxia.module.apt.AptParser.Block.skipLeadingBullets()",3,2,3
"org.apache.maven.doxia.module.apt.AptParser.Block.skipSpaceFrom(int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.traverseText(int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Block.traverseText(int,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Comment.Comment(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Comment.traverse()",1,2,2
"org.apache.maven.doxia.module.apt.AptParser.DefinitionListItem.DefinitionListItem(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.DefinitionListItem.traverse()",1,1,2
"org.apache.maven.doxia.module.apt.AptParser.Figure.Figure(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Figure.traverse()",1,2,2
"org.apache.maven.doxia.module.apt.AptParser.HorizontalRule.HorizontalRule(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.HorizontalRule.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.ListBreak.ListBreak(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.ListBreak.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.ListItem.ListItem(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.ListItem.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.MacroBlock.MacroBlock(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.MacroBlock.escapeForMacro(String)",2,2,3
"org.apache.maven.doxia.module.apt.AptParser.MacroBlock.traverse()",4,2,6
"org.apache.maven.doxia.module.apt.AptParser.MacroBlock.unescapeForMacro(String)",2,2,3
"org.apache.maven.doxia.module.apt.AptParser.NumberedListItem.NumberedListItem(int,String,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.NumberedListItem.getNumbering()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.NumberedListItem.skipItemNumber()",4,2,5
"org.apache.maven.doxia.module.apt.AptParser.NumberedListItem.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.PageBreak.PageBreak(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.PageBreak.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Paragraph.Paragraph(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Paragraph.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section.Section(int,int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section.traverse()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section1.Section1(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section1.Title()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section1.Title_()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section2.Section2(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section2.Title()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section2.Title_()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section3.Section3(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section3.Title()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section3.Title_()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section4.Section4(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section4.Title()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section4.Title_()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section5.Section5(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section5.Title()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Section5.Title_()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Table.Table(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Table.parseJustification(String,int)",4,5,10
"org.apache.maven.doxia.module.apt.AptParser.Table.traverse()",8,11,18
"org.apache.maven.doxia.module.apt.AptParser.Table.traverseRow(StringBuilder[],boolean[],int[])",4,8,12
"org.apache.maven.doxia.module.apt.AptParser.Title.Title(int,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.Title.traverse()",9,14,23
"org.apache.maven.doxia.module.apt.AptParser.Verbatim.Verbatim(int,String)",3,8,8
