Complexity metrics,Sun, 24 Mar 2019 23:05:11 EDT
Method,ev(G),v(G)
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.peek()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.pop()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.push(Builder)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.storeInterpolatedNode(ImmutableNode)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.valueChanged(Object,Object)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.visitAfterChildren(ImmutableNode,NodeHandler<ImmutableNode>)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.visitBeforeChildren(ImmutableNode,NodeHandler<ImmutableNode>)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.childConfigurationsAt(String)",2,3
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.childConfigurationsAt(String,boolean)",2,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.cloneNodeModel()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationAt(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationAt(String,boolean)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationsAt(String)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationsAt(String,boolean)",2,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createChangeListener()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createConnectedSubConfiguration(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createConnectedSubConfigurations(InMemoryNodeModelSupport,Collection<NodeSelector>)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createIndependentSubConfiguration(String)",2,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createIndependentSubConfigurationForNode(ImmutableNode)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createNodeModel(HierarchicalConfiguration<ImmutableNode>)",1,2
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createSubConfigurationForTrackedNode(NodeSelector,InMemoryNodeModelSupport)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createSubsetRootNode(Collection<QueryResult<ImmutableNode>>)",1,5
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.fetchFilteredNodeResults(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.getNodeModel()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.getSubConfigurationNodeSelector(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.getSubConfigurationParentModel()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableChildConfigurationsAt(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationAt(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationAt(String,boolean)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationsAt(String)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.initSubConfiguration(BaseHierarchicalConfiguration)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.initSubConfigurationForThisParent(SubnodeConfiguration)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.interpolatedConfiguration()",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.obtainRootNode(HierarchicalConfiguration<ImmutableNode>)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.subnodeConfigurationChanged(ConfigurationEvent)",1,1
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.subset(String)",3,3
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.toImmutable(List<? extends HierarchicalConfiguration<?>>)",1,2
"org.apache.commons.configuration2.BaseNonStringProperties.testBoolean()",1,1
"org.apache.commons.configuration2.BaseNonStringProperties.testBooleanArrayValue()",1,1
