,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
18,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},13,0,0,0,3,0,2,0,2,0
29,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigPathValidator,175,0,16,0,42,0,15,0,7,0
16,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigResolverProducer,59,0,6,0,16,0,8,0,5,0
39,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ViewConfigUtils,41,0,12,0,11,0,9,0,3,0
20,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewControllerActionListener,32,0,2,0,10,0,3,0,2,0
417,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.config.view.controller,ViewControllerRef.AnnotationPreProcessor,41,0,0,0,10,0,2,0,2,0
416,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.config.view.controller,ViewControllerRef.Descriptor,5,0,0,0,2,0,1,0,1,0
354,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.literal,ViewControllerRefLiteral,15,0,0,0,6,0,3,0,3,0
35,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ViewControllerUtils,19,0,4,0,7,0,4,0,2,0
107,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.literal,ViewLiteral,323,0,56,0,78,0,40,0,12,0
412,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.config.view,ViewRef.Manual,3,0,0,0,1,0,1,0,1,0
413,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.config.view,ViewRef.ViewRefInlineMetaDataTransformer,22,0,2,0,6,0,3,0,2,0
415,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.config.view,ViewRef.ViewRefTargetViewConfigProvider,6,0,0,0,2,0,2,0,2,0
54,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.security,ViewRootAccessHandler,130,0,18,0,32,0,13,0,4,0
467,Apache DeltaSpike JSF Examples,org.apache.deltaspike.example.scope,ViewScopedBean,6,0,0,0,3,0,2,0,2,0
65,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.view,ViewScopedContext,105,0,16,0,34,0,19,0,11,0
66,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.view,ViewScopedExtension,42,0,8,0,13,0,7,0,3,0
133,Apache DeltaSpike Servlet-Module API,org.apache.deltaspike.servlet.api.resourceloader,WebResourceProvider,24,0,2,0,5,0,3,0,2,0
270,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.window,WindowBeanHolder,0,28,1,1,0,9,1,3,0,3
271,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.window,WindowContextImpl,8,76,5,7,2,22,5,9,0,8
273,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.window,WindowContextProducer,0,10,0,0,0,2,0,2,0,2
274,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.window,WindowContextQuotaHandlerCache,10,17,1,1,3,6,2,3,1,3
2,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,WindowIdComponent,3,0,0,0,1,0,1,0,1,0
275,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.window,WindowIdHolder,0,10,0,0,0,4,0,3,0,3
4,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.component.window,WindowIdHtmlRenderer,193,0,18,0,42,0,13,0,4,0
71,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,WindowMetaData,17,0,0,0,7,0,5,0,5,0
471,Apache DeltaSpike JSF Examples,org.apache.deltaspike.example.scope,WindowScopedBean,6,0,0,0,3,0,2,0,2,0
424,Apache DeltaSpike Core-API,org.apache.deltaspike.core.util.bean,WrappingBeanBuilder,57,0,2,0,7,0,4,0,3,0
,,,,33586,16010,3885,1562,8211,3854,3939,1322,1750,780
,,,,,,,,,,,,,
,,,statement,0.322808291,,,,,,,,,
,,,branch,0.286763356,,,,,,,,,
