,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
56,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.navigation,DeltaSpikeNavigationHandler,231,0,42,0,55,0,27,0,6,0
57,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.navigation,NavigationHandlerAwareApplication,98,0,14,0,35,0,13,0,6,0
58,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.viewaccess,ViewAccessScopedAwareNavigationHandler,60,0,12,0,20,0,10,0,4,0
59,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window.strategy,NoneWindowStrategy,5,0,0,0,2,0,2,0,2,0
60,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window.strategy,ClientSideWindowStrategy,262,0,34,0,71,0,25,0,8,0
61,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window.strategy,LazyWindowStrategy,72,0,14,0,22,0,12,0,5,0
62,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window.strategy,AbstractClientWindowStrategy,241,0,28,0,63,0,31,0,17,0
63,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window.strategy,DelegatedWindowStrategy,14,0,2,0,4,0,3,0,2,0
64,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.view,ViewScopedContext,105,0,16,0,34,0,19,0,11,0
65,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.view,ViewScopedExtension,42,0,8,0,13,0,7,0,3,0
66,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,DeltaSpikePhaseListener,242,0,36,0,77,0,32,0,14,0
67,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,JsfRequestLifecycleBroadcaster,172,0,22,0,39,0,19,0,8,0
68,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,BeforePhaseBinding,3,0,0,0,1,0,1,0,1,0
69,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,JsfRequestLifecyclePhaseListener,32,0,4,0,11,0,7,0,5,0
70,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,WindowMetaData,17,0,0,0,7,0,5,0,5,0
71,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,AfterPhaseBinding,3,0,0,0,1,0,1,0,1,0
72,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,JsfRequestLifecycleBroadcaster.new BeforePhaseBinding() {...},13,0,0,0,2,0,2,0,2,0
73,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,JsfRequestLifecycleBroadcaster.new Comparator() {...},20,0,2,0,3,0,3,0,2,0
