,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
68,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.event,EventBridgeSessionListener,31,0,4,0,7,0,5,0,3,0
69,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.event,EventBroadcaster,37,0,4,0,12,0,6,0,4,0
70,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.event,EventBridgeFilter,52,0,4,0,11,0,6,0,4,0
71,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.event,EventBridgeContextListener,31,0,4,0,7,0,5,0,3,0
72,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.descriptor.xml,PersistenceUnitDescriptorInitExtension,1,20,1,1,1,6,1,2,0,2
73,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,ManagedUserTransactionResolver,6,0,0,0,2,0,2,0,2,0
74,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,ContainerManagedTransactionStrategy,6,0,0,0,2,0,2,0,2,0
75,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,BeanManagedUserTransactionStrategy.new TransactionConfig() {...},8,0,0,0,2,0,2,0,2,0
76,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,TransactionalInterceptor,0,8,0,0,0,2,0,2,0,2
77,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,ResourceLocalTransactionStrategy,37,316,18,52,9,95,17,34,0,16
78,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,BeanManagedUserTransactionStrategy,103,5,12,0,34,1,16,1,10,1
79,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,EnvironmentAwareTransactionStrategy,63,5,8,0,23,1,10,1,6,1
80,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,TransactionStrategyHelper,3,166,3,23,0,36,3,16,0,6
81,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,BeanManagedUserTransactionStrategy.UserTransactionAdapter,177,0,38,0,55,0,29,0,10,0
82,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,UserTransactionResolver,61,0,6,0,20,0,5,0,2,0
83,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,DefaultEntityManagerHolder,8,5,0,0,3,2,3,2,3,2
84,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,EntityManagerFactoryProducer,5,30,1,1,2,8,1,3,0,3
85,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,PersistenceConfigurationProviderImpl,0,105,0,8,0,22,0,7,0,3
86,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,EntityManagerRefLookup,154,0,20,0,46,0,14,0,4,0
87,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,EntityManagerMetadata,40,91,1,9,13,30,7,13,6,9
88,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.entitymanager,EntityManagerRef,51,0,4,0,21,0,14,0,12,0
89,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionBeanStorage.TransactionContextInfo,0,19,0,0,0,4,0,1,0,1
90,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionContext,34,61,4,8,9,18,4,7,0,5
91,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,EntityManagerEntry,9,37,4,4,4,11,5,4,1,4
92,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionBeanStorage,26,158,7,17,7,45,7,21,0,16
93,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionContextExtension,1,26,1,1,1,8,1,3,0,3
94,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionBeanEntry,0,21,0,0,0,8,0,4,0,4
95,Apache DeltaSpike Security-Module Impl,org.apache.deltaspike.security.impl.authorization,SecuredAnnotationAuthorizer,10,174,7,19,2,41,7,10,0,4
96,Apache DeltaSpike Security-Module Impl,org.apache.deltaspike.security.impl.authorization,AccessDeniedExceptionBroadcaster,12,14,0,0,3,4,0,2,0,2
97,Apache DeltaSpike Security-Module Impl,org.apache.deltaspike.security.impl.authorization,SkipInternalProcessingException,0,9,0,0,0,4,0,2,0,2
98,Apache DeltaSpike Security-Module Impl,org.apache.deltaspike.security.impl.authorization,SecurityParameterValueRedefiner,90,107,12,12,17,27,9,5,0,2
